низкой;Him-neftehim;Potrebsektor;ElectroEnerg;Finances;Metal and dobicha;Neftegaz;Telecom;Transport;
1;-0,0008;-0,0003;-0,0001;-0,0001;0,0001;-0,0007;0;0,0007;
MOEXCH;0,0342
MOEXCN;0,0433
MOEXEU;0,07
MOEXFN;0,067
MOEXMM;0,0563
MOEXOG;0,0636
MOEXTL;0,0575
MOEXTN;0,102
